address,city,country,keys,latitude,longitude,name,postalCode,province,websites,websites2,website3,website4, website5
66 14th St.,Tell City,US,us/in/tellcity/6614thst/1516016543,37.941032,-86.762115,Long John Silver's,47586,IN,http://www.ljsilvers.com,,,,
301 University Blvd,Louisville,US,us/ky/louisville/301universityblvd/-1161002137,38.21999,-85.764824,McDonald's,40208,KY,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
5812 NW Expressway,Oklahoma City,US,us/ok/oklahomacity/5812nwexpressway/-1161002137,35.54815,-97.61717,McDonald's,73132,OK,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
101 Thomas Garst Ln,Leland,US,us/nc/leland/101thomasgarstln/-864103396,34.23389,-77.99544,Taco Bell,28451,NC,http://www.tacobell.com,https://locations.tacobell.com/nc/leland/101-thomas-garst-lane.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030564andutm_content=website,,,
1111 New Pointe Blvd,Leland,US,us/nc/leland/1111newpointeblvd/-1161002137,34.21188,-78.02454,McDonald's,28451,NC,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
782 Old Hickory Blvd Ste 120,Brentwood,US,us/tn/brentwood/782oldhickoryblvdste120/-722952174,36.04222,-86.77995,Qdoba Mexican Grill,37027,TN,http://www.qdoba.com,https://locations.qdoba.com/us/tn/brentwood/782-old-hickory-blvd.html,,,
108 Village Rd NE,Leland,US,us/nc/leland/108villagerdne/-1161002137,34.234477,-78.000649,McDonald's,28451,NC,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
1116 Old Highway 60,Hardinsburg,US,us/ky/hardinsburg/1116oldhighway60/-1161002137,37.792641,-86.492762,McDonald's,40143,KY,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
1423 Southwest Pkwy,Wichita Falls,US,us/tx/wichitafalls/1423southwestpkwy/-1161002137,33.85371,-98.50065,McDonald's,76302,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,,,
908 Padre Blvd,South Padre Island,US,us/tx/southpadreisland/908padreblvd/-1161002137,26.09105,-97.1643,McDonald's,78597,TX,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,,,
1131n N Main St,Miami,US,us/ok/miami/1131nnmainst/-1161002137,36.88826,-94.87766,McDonald's,74354,OK,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,,,
3401 Hwy 165 North,Pineville,US,us/la/pineville/3401hwy165north/-66712705,31.3626,-92.41343,Pizza Hut,71360,LA,http://www.pizzahut.com,,,,
1631 E Madison Ave,Bastrop,US,us/la/bastrop/1631emadisonave/1780593795,32.77992,-91.89477,Sonic Drive-In,71220,LA,https://locations.sonicdrivein.com/la/bastrop/1631-e--madison.html,,,,
301 S Lynn Riggs Blvd,Claremore,US,us/ok/claremore/301slynnriggsblvd/-1055723171,36.31069,-95.61759,Domino's Pizza,74017,OK,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,,,
601 E Lincolnway,Minerva,US,us/oh/minerva/601elincolnway/-1161002137,40.732,-81.09812,McDonald's,44657,OH,http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
3211 S 4th St,Leavenworth,US,us/ks/leavenworth/3211s4thst/1780593795,39.28532,-94.90441,SONIC Drive In,66048,KS,https://locations.sonicdrivein.com/ks/leavenworth/3211-s-fourth-street.html,,,,
105 Business Loop W,Jamestown,US,us/nd/jamestown/105businessloopw/-864103396,46.898997,-98.707788,Taco Bell,58401,ND,http://www.tacobell.com,https://locations.tacobell.com/nd/jamestown/105-business-loop-west.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=019434andutm_content=website,,,
1531 University Dr S,Fargo,US,us/nd/fargo/1531universitydrs/-1055723171,46.85659,-96.79863,Domino's Pizza,58103,ND,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
718 10th St SE,Jamestown,US,us/nd/jamestown/71810thstse/-1009719089,46.89896,-98.6984,Taco John's,58401,ND,https://www.tacojohns.com,http://locations.tacojohns.com/nd/jamestown/718-10th-street-se.html,,,
1400 24th Ave SW,Minot,US,us/nd/minot/140024thavesw/-1161002137,48.20858,-101.3128,McDonald's,58701,ND,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
703 S Magnolia St,Woodville,US,us/tx/woodville/703smagnoliast/1832448210,30.76846,-94.41477,Whataburger,75979,TX,https://locations.whataburger.com/tx/woodville/703-s--magnolia.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,https://locations.whataburger.com/tx/woodville/703-s--magnolia.html/,,,
1535 S Broadway,Minot,US,us/nd/minot/1535sbroadway/-66712705,48.219459,-101.296022,Pizza Hut,58701,ND,http://www.pizzahut.com,,,,
775 S Main St,Smithfield,US,us/ut/smithfield/775smainst/-1055723171,41.82069,-111.83318,Domino's Pizza,84335,UT,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
218 W Main St,Ada,US,us/ok/ada/218wmainst/-1173852384,34.77482,-96.68126,Hamburger King,74820,OK,,,,,
3208 S Elm Pl,Broken Arrow,US,us/ok/brokenarrow/3208selmpl/1780593795,36.01948,-95.79756,SONIC Drive In,74012,OK,https://locations.sonicdrivein.com/ok/broken-arrow/3208-s-elm-place.html,,,,
3056 Classen Blvd Unit A,Norman,US,us/ok/norman/3056classenblvdunita/-1055723171,35.18173,-97.41709,Domino's Pizza,73071,OK,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
982 Macon St,Warner Robins,US,us/ga/warnerrobins/982maconst/-2061630068,32.59495,-83.58338,Burger King,31098,GA,http://www.bk.com,https://locations.bk.com/ga/warner-robins/982-macon-st.html,https://www.bk.com,,
6060 San Mateo Blvd NE,Albuquerque,US,us/nm/albuquerque/6060sanmateoblvdne/-2061630068,35.144456,-106.585927,Burger King,87109,NM,http://www.bk.com,https://locations.bk.com/nm/albuquerque/6060-san-mateo-ne.html,https://www.bk.com,,
8401 Gateway Blvd W Ste M4,El Paso,US,us/tx/elpaso/8401gatewayblvdwstem4/-1161002137,31.77465,-106.38071,McDonalds,79925,TX,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
450 N Harrison Ave,Shawnee,US,us/ok/shawnee/450nharrisonave/1780593795,35.33252,-96.91222,SONIC Drive In,74801,OK,https://locations.sonicdrivein.com/ok/shawnee/450-n--harrison.html,,,,
9455 SW Barbur Blvd,Portland,US,us/or/portland/9455swbarburblvd/-863563290,45.457027,-122.713696,Taco Time,97219,OR,http://www.tacotime.com/stores/6254,,,,
351 River Hill Dr,Ashland,US,us/ky/ashland/351riverhilldr/-1161002137,38.48554,-82.658096,McDonald's,41101,KY,http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
18000 Bagley Rd,Cleveland,US,us/oh/cleveland/18000bagleyrd/-2061630068,41.373042,-81.826072,Burger King,44130,OH,http://www.bk.com,,,,
3700 N 1st Ave,Evansville,US,us/in/evansville/3700n1stave/-1161002137,38.01322,-87.57549,McDonald's,47710,IN,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
895 N Highway 77 Ste 300,Waxahachie,US,us/tx/waxahachie/895nhighway77ste300/-1947870258,32.41269,-96.84213,Jimmy John's,75165,TX,http://www.jimmyjohns.com,,,,
819 SW 19th St,Oklahoma City,US,us/ok/oklahomacity/819sw19thst/-1055723171,35.32026,-97.50536,Domino's Pizza,73160,OK,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,,,
95-1249 Meheula Parkway,,Mililani,US,us/hi/mililani/951249meheulaparkway/-1123076480,21.45311,-158.01738,Jersey Mike's Subs,96789,HI,https://www.jerseymikes.com/44004,http://www.jerseymikes.com,,
1625 Veterans Pkwy,Jeffersonville,US,us/in/jeffersonville/1625veteranspkwy/-624847056,38.32967,-85.74938,Popeyes Louisiana Kitchen,47130,IN,http://www.popeyes.com,http://popeyes.com,,,
2730 S Hurstbourne Pkwy Suite 100,Louisville,US,us/ky/louisville/2730shurstbournepkwysuite100/-722952174,38.21234,-85.59548,Qdoba Mexican Grill,40220,KY,http://www.qdoba.com,https://locations.qdoba.com/us/ky/louisville/2730-s-hurstbourne-pkwy.html,,,
5680 Commercial St SE Ste 100,Salem,US,us/or/salem/5680commercialstseste100/-1055723171,44.87205,-123.02243,Domino's Pizza,97306,OR,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,,,
2870 W Loop 1604 S,San Antonio,US,us/tx/sanantonio/2870wloop1604s/1832448210,29.4033,-98.70619,Whataburger,78245,TX,https://locations.whataburger.com/tx/san-antonio/2870-w-loop-1604-s.html/,https://locations.whataburger.com/tx/san-antonio/2870-w-loop-1604-s.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,,,
1321 Herr Ln Ste 150,Louisville,US,us/ky/louisville/1321herrlnste150/-722952174,38.26897,-85.61074,Qdoba Mexican Grill,40222,KY,https://locations.qdoba.com/us/ky/louisville/1321-herr-lane.html,http://www.qdoba.com,,,
100 Northside Dr,Bennington,US,us/vt/bennington/100northsidedr/-864103396,42.89413,-73.20316,Taco Bell,5201,VT,http://www.tacobell.com,https://locations.tacobell.com/vt/bennington/100-northside-drive.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033371andutm_content=website,,,
6611 S Mo Pac Expy Ste B,Austin,US,us/tx/austin/6611smopacexpysteb/1832448210,30.22023,-97.83528,Whataburger,78749,TX,https://locations.whataburger.com/tx/austin/6611-s-mo-pac-expy.html/,https://locations.whataburger.com/tx/austin/6611-s-mo-pac-expy.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,,,
9300 S Interstate 35 Bldg H,Austin,US,us/tx/austin/9300sinterstate35bldgh/1832448210,30.16525,-97.78887,Whataburger,78748,TX,https://locations.whataburger.com/tx/austin/9300-s-interstate-35.html/,http://locations.whataburger.com,,,
315 N Stephenson Ave,Iron Mountain,US,us/mi/ironmountain/315nstephensonave/696490760,45.825755,-88.063121,Hardee's,49801,MI,http://www.hardees.com,,,,
2439 Springs Rd NE,Hickory,US,us/nc/hickory/2439springsrdne/-1161002137,35.75332,-81.28572,McDonald's,28601,NC,http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
9651 Natural Bridge Rd,Saint Louis,US,us/mo/saintlouis/9651naturalbridgerd/-938337463,38.72914,-90.34394,Rally's,63134,MO,https://locations.rallys.com/mo/st.-louis/9651-natural-bridge-road,http://rallys.com,,,
1665 Dove Park Rd Ste 300,Mandeville,US,us/la/mandeville/1665doveparkrdste300/659024989,30.41178,-90.04186,Quiznos,70471,LA,http://restaurants.quiznos.com/la/mandeville/doveparkcommons-70471,,,,
225 Grant Ave,Auburn,US,us/ny/auburn/225grantave/-2061630068,42.94987,-76.54722,Burger King,13021,NY,http://www.bk.com,https://locations.bk.com/ny/auburn/225-grant-ave.html,,,
5400 FM 1640 Rd Ste 500,Richmond,US,us/tx/richmond/5400fm1640rdste500/1832448210,29.55941,-95.76008,Whataburger,77469,TX,https://locations.whataburger.com/tx/richmond/5400-fm-1640-rd.html/,https://locations.whataburger.com/tx/richmond/5400-fm-1640-rd.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,,,
2448 University Ave,Green Bay,US,us/wi/greenbay/2448universityave/-1055723171,44.51312,-87.96051,Domino's Pizza,54302,WI,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,,,
111 Commons Dr,Maumelle,US,us/ar/maumelle/111commonsdr/1780593795,34.84808,-92.40624,SONIC Drive In,72113,AR,https://locations.sonicdrivein.com/ar/maumelle/111-commons-drive.html,,,,
344 S Service Rd E,Sullivan,US,us/mo/sullivan/344sservicerde/-864103396,38.22303,-91.15696,Taco Bell,63080,MO,http://www.tacobell.com,https://locations.tacobell.com/mo/sullivan/344-s-service-rd-e.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029633andutm_content=website,,,
6490 Memphis Arlington Rd Ste 103,Memphis,US,us/tn/memphis/6490memphisarlingtonrdste103/-1055723171,35.22655,-89.84786,Domino's Pizza,38135,TN,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,,,
2124 S 1st St,Yakima,US,us/wa/yakima/2124s1stst/-864103396,46.57144,-120.48825,Taco Bell,98903,WA,https://locations.tacobell.com/wa/yakima/2124-s-1st-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=030512andutm_content=website,http://www.tacobell.com,,,
482 Branson Landing Blvd Ste 105,Branson,US,us/mo/branson/482bransonlandingblvdste105/-1947870258,36.65075,-93.22026,Jimmy John's,65616,MO,http://www.jimmyjohns.com,,,,
406 S Thompson St,Springdale,US,us/ar/springdale/406sthompsonst/-864103396,36.182436,-94.138658,Taco Bell,72764,AR,http://www.tacobell.com,https://locations.tacobell.com/ar/springdale/406-s--thompson.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=003271andutm_content=website,,,
5094 Murfreesboro Rd Ste 1,La Vergne,US,us/tn/lavergne/5094murfreesborordste1/-1055723171,36.02074,-86.5812,Domino's Pizza,37086,TN,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,,,
801 S Vaughn Dr,Brusly,US,us/la/brusly/801svaughndr/-1161002137,30.387691,-91.25265,McDonald's,70719,LA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,,,
5100 NC Highway 87 S Ste 102,Fayetteville,US,us/nc/fayetteville/5100nchighway87sste102/-1055723171,34.9297,-78.85668,Domino's Pizza,28306,NC,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
Co-Op City,Bronx,US,us/ny/bronx/opcity/-2061630068,40.8691,-73.8248,Burger King,10475,NY,http://www.bk.com,,,,
3898 Cleveland Hwy,Dalton,US,us/ga/dalton/3898clevelandhwy/-1161002137,34.89383,-84.94654,McDonalds,30721,GA,http://mcdonalds.com,,,,
1865 Blankenship Rd,West Linn,US,us/or/westlinn/1865blankenshiprd/-230519289,45.349698,-122.653281,Jack in the Box,97068,OR,http://www.jackinthebox.com,,,,
825 W 1100 S,Brigham City,US,us/ut/brighamcity/825w1100s/1780593795,41.48602,-112.02944,Sonic Drive-In,84302,UT,https://locations.sonicdrivein.com/ut/brigham-city/825-west-1100-south.html,http://sonicdrivein.com,,,
955 S Main St,Brigham City,US,us/ut/brighamcity/955smainst/-864103396,41.49113,-112.01555,Taco Bell,84302,UT,http://www.tacobell.com,https://locations.tacobell.com/ut/brigham-city/955-south-main-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=020036andutm_content=website,,,
875 W 1150 S,Brigham City,US,us/ut/brighamcity/875w1150s/-891525969,41.48561,-112.02934,Subway,84302,UT,http://www.subway.com,http://subway.com,,,
524 Indian Boundary Rd,Chesterton,US,us/in/chesterton/524indianboundaryrd/-1947870258,41.6165,-87.0439,Jimmy John's,46304,IN,http://www.jimmyjohns.com,,,,
801 University St,Martin,US,us/tn/martin/801universityst/-1161002137,36.3485,-88.87344,McDonald's,38237,TN,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://mcdonalds.com,,,
2505 State Rd,La Crosse,US,us/wi/lacrosse/2505staterd/696490760,43.79609,-91.21769,Hardee's,54601,WI,http://www.hardees.com,,,,
1610 Sycamore View Rd,Memphis,US,us/tn/memphis/1610sycamoreviewrd/-1161002137,35.1694,-89.86479,McDonald's,38134,TN,http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
2437 George St,La Crosse,US,us/wi/lacrosse/2437georgest/-1161002137,43.85742,-91.23993,McDonald's,54603,WI,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
813 N Central Ave,Marshfield,US,us/wi/marshfield/813ncentralave/-1009719089,44.674233,-90.168369,Taco John's,54449,WI,https://www.tacojohns.com,http://locations.tacojohns.com/wi/marshfield/813-n-central-avenue.html,,,
1101 N Central Ave,Marshfield,US,us/wi/marshfield/1101ncentralave/-1161002137,44.67742,-90.16521,McDonald's,54449,WI,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
4601 Northfield Rd,Cleveland,US,us/oh/cleveland/4601northfieldrd/-1065909473,41.433314,-81.523935,Mr Hero,44128,OH,http://www.mrhero.com,,,,
1601 W Lincoln Ave,Yakima,US,us/wa/yakima/1601wlincolnave/-1161002137,46.6039,-120.53093,McDonald's,98902,WA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://www.mcdonalds.com,,,
5706 W 7800 S,West Jordan,US,us/ut/westjordan/5706w7800s/-1161002137,40.60985,-112.0266,McDonald's,84081,UT,http://www.mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
1014 Highway 82 E,Indianola,US,us/ms/indianola/1014highway82e/-864103396,33.45785,-90.63563,Taco Bell,38751,MS,http://www.tacobell.com,https://locations.tacobell.com/ms/indianola/1014-highway-82.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=C412001andutm_content=website,,,
640 Huebner Rd,Fort Riley,US,us/ks/fortriley/640huebnerrd/-1055723171,39.0644,-96.79881,Domino's Pizza,66442,KS,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
1418 W Sunset Blvd,Saint George,US,us/ut/saintgeorge/1418wsunsetblvd/-864103396,37.122977,-113.613499,Taco Bell,84770,UT,http://www.tacobell.com,https://locations.tacobell.com/ut/saint-george/1418-west-sunset-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025391andutm_content=website,,,
610 E Saint George Blvd,Saint George,US,us/ut/saintgeorge/610esaintgeorgeblvd/-864103396,37.109869,-113.570286,Taco Bell,84770,UT,http://www.tacobell.com,https://locations.tacobell.com/ut/saint-george/610-east-st-george-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=025385andutm_content=website,,,
4651 W 6th St,Lawrence,US,us/ks/lawrence/4651w6thst/-66712705,38.971514,-95.301449,Pizza Hut,66049,KS,http://www.pizzahut.com,,,,
5540 Old Cheney Rd,Lincoln,US,us/ne/lincoln/5540oldcheneyrd/1491689988,40.75546,-96.64543,Amigos/Kings Classic,68516,NE,http://www.facebook.com/amigoskings,http://www.amigoskings.com,,,
7501 W 135th St,Overland Park,US,us/ks/overlandpark/7501w135thst/1876747914,38.88353,-94.672,Raising Cane's Chicken Fingers,66223,KS,http://raisingcanes.com,,,,
4204 Milan Rd,Sandusky,US,us/oh/sandusky/4204milanrd/-1161002137,41.41841,-82.67352,McDonalds,44870,OH,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
6300 Gulf Fwy,La Marque,US,us/tx/lamarque/6300gulffwy/1832448210,29.3676,-94.97416,Whataburger,77568,TX,https://locations.whataburger.com/tx/la-marque/6300-gulf-freeway.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,https://locations.whataburger.com/tx/la-marque/6300-gulf-freeway.html/,,,
1302 Highway 35 N,Rockport,US,us/tx/rockport/1302highway35n/-1161002137,28.036688,-97.04238,McDonald's,78382,TX,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
3515 Springdale Rd,Cincinnati,US,us/oh/cincinnati/3515springdalerd/-1055723171,39.25009,-84.59411,Domino's Pizza,45251,OH,http://dominospizza.com,http://www.dominos.com,,,
7720 Laurel Ave,Cincinnati,US,us/oh/cincinnati/7720laurelave/-1055723171,39.18985,-84.36207,Domino's Pizza,45243,OH,https://www.dominos.com/en/?redirect=homepageandutm_source=locallistingsandutm_medium=loclistandutm_campaign=localmaps,https://www.dominos.com/en/?redirect=homepage,https://www.dominos.com/en/?redirect=homepageandutm_source=yextandutm_medium=loclistandutm_campaign=localmaps,,
123 Creekside Xing,New Braunfels,US,us/tx/newbraunfels/123creeksidexing/1832448210,29.7279,-98.07612,Whataburger,78130,TX,https://locations.whataburger.com/tx/new-braunfels/123-creekside-crossing.html/,https://locations.whataburger.com/tx/new-braunfels/123-creekside-crossing.html/?utm_source=yextpagesandutm_medium=locallistingsandutm_campaign=yextpages,,,
793 Roosevelt Trl,Windham,US,us/me/windham/793roosevelttrl/-2061630068,43.83887,-70.44217,Burger King,4062,ME,http://www.bk.com,https://locations.bk.com/me/windham/793-roosevelt-trl.html,https://locations.bk.com/me/north-windham/793-roosevelt-trl.html,,
14700 E Indiana Ave,Spokane,US,us/wa/spokane/14700eindianaave/-863563290,47.673976,-117.206394,Taco Time,99216,WA,http://www.tacotime.com/stores/6406,,,,
201 Commerce Dr,Jefferson City,US,us/mo/jeffersoncity/201commercedr/1780593795,38.59259,-92.2254,SONIC Drive In,65109,MO,https://locations.sonicdrivein.com/mo/jefferson-city/201-commerce-drive.html,http://sonicdrivein.com,,,
3124 S Ten Mile Dr,Jefferson City,US,us/mo/jeffersoncity/3124stenmiledr/-1161002137,38.58068,-92.2352,McDonald's,65109,MO,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
1417 Jackson Ave W,Oxford,US,us/ms/oxford/1417jacksonavew/-1720598652,34.36729,-89.54978,Coop DeVille,38655,MS,http://www.coopdevillerecords.com,,,,
2984 Upland Pkwy,Sidney,US,us/ne/sidney/2984uplandpkwy/-1161002137,41.138,-102.98557,McDonalds,69162,NE,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,,,
1002 J St,Auburn,US,us/ne/auburn/1002jst/1491689988,40.39457,-95.83913,Amigos/Kings Classic,68305,NE,http://www.amigoskings.com,http://www.facebook.com/amigoskings,,,
191 7th St,Garden City,US,us/ny/gardencity/1917thst/93683743,40.725253,-73.634393,B. Good,11530,NY,https://bgood.com/locations/191-7th-street-garden-city-ny,,,,
